partition_set_id,partition_id,method,start_node,cycle_time,num_complete_cycles,benefit,benefit_per_minute,cost_without_plow,cost_with_plow,coverage_ratio,total_priority,unique_edges
2,4,chinese_postman,261,82.15724436893808,8,643576.7870039821,893.8566486166418,722649.5999999987,79072.81299601652,1.0,167.2799999999997,372
0,4,chinese_postman,60,82.15724436893805,8,643557.4185204522,893.8297479450725,722649.5999999987,79092.18147954647,1.0,167.2799999999997,372
1,4,chinese_postman,263,82.15724436893804,8,643545.2054931561,893.8127854071613,722649.5999999988,79104.39450684277,1.0,167.27999999999972,372
2,4,chinese_postman,520,82.15724436893801,8,643501.5738252692,893.7521858684295,722649.5999999987,79148.02617472947,1.0,167.2799999999997,372
2,4,chinese_postman,521,82.15724436893801,8,643493.0835244783,893.7403937839975,722649.5999999988,79156.51647552052,1.0,167.27999999999972,372
1,4,chinese_postman,260,82.15724436893812,8,643476.8771487074,893.7178849287603,722649.5999999992,79172.72285129181,1.0,167.2799999999998,372
1,4,chinese_postman,58,82.15724436893811,8,643471.0546516624,893.7097981273089,722649.599999999,79178.5453483367,1.0,167.27999999999977,372
1,4,chinese_postman,56,82.15724436893812,8,643470.233365075,893.708657451493,722649.5999999992,79179.36663492421,1.0,167.2799999999998,372
2,4,chinese_postman,55,82.15724436893812,8,643469.797552577,893.7080521563569,722649.5999999994,79179.80244742238,1.0,167.27999999999986,372
1,4,chinese_postman,255,82.15724436893805,8,643463.538485072,893.6993590070444,722649.5999999986,79186.06151492665,1.0,167.27999999999966,372
0,4,chinese_postman,67,82.15724436893812,8,643454.4370295538,893.6867180966025,722649.5999999994,79195.16297044558,1.0,167.27999999999986,372
2,4,chinese_postman,67,82.15724436893812,8,643454.4370295538,893.6867180966025,722649.5999999994,79195.16297044558,1.0,167.27999999999986,372
2,4,chinese_postman,503,82.15724436893801,8,643451.8783444291,893.6831643672626,722649.5999999987,79197.72165556962,1.0,167.2799999999997,372
0,4,chinese_postman,655,82.15724436893801,8,643438.6175144002,893.664746547778,722649.5999999988,79210.98248559865,1.0,167.27999999999972,372
